Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
1,Adrian Peterson,MIN,5,37,RB,RB1,null,null,null,null,null,1.7
2,Le'Veon Bell,PIT,11,31,RB,RB2,null,null,null,null,null,3.1
3,Eddie Lacy,GB,7,32,RB,RB3,null,null,null,null,null,3.2
4,Jamaal Charles,KC,9,36,RB,RB4,null,null,null,null,null,3.7
5,Marshawn Lynch,SEA,9,36,RB,RB5,null,null,null,null,null,5.2
6,Antonio Brown,PIT,11,34,WR,WR1,null,null,null,null,null,6.4
7,CJ Anderson,DEN,7,32,RB,RB6,null,null,null,null,null,7.8
8,Dez Bryant,DAL,6,34,WR,WR2,null,null,null,null,null,8.8
9,Julio Jones,ATL,10,34,WR,WR3,133.5,133.5,133.5,133.5,133.5,9.1
10,Jeremy Hill,CIN,7,30,RB,RB7,null,null,null,null,null,9.4
11,Andrew Luck,IND,10,33,QB,QB1,null,null,null,null,null,9.8
12,Demaryius Thomas,DEN,7,35,WR,WR4,null,null,null,null,null,11.8
13,Rob Gronkowski,NE,4,33,TE,TE1,null,null,null,null,null,11.9
14,DeMarco Murray,PHI,8,35,RB,RB8,null,null,null,null,null,13.3
15,Odell Beckham Jr.,NYG,11,30,WR,WR5,null,null,null,null,null,14.5
16,Matt Forte,CHI,7,37,RB,RB9,null,null,null,null,null,14.8
17,Calvin Johnson,DET,9,37,WR,WR6,null,null,null,null,null,16.1
18,Randall Cobb,GB,7,32,WR,WR7,196,196,196,196,196,18.7
19,LeSean McCoy,BUF,8,34,RB,RB10,null,null,null,null,null,19.2
19,A.J. Green,CIN,7,34,WR,WR8,198,198,198,198,198,19.2
21,Justin Forsett,BAL,9,37,RB,RB11,null,null,null,null,null,20.6
22,Aaron Rodgers,GB,7,39,QB,QB2,64.5,64.5,64.5,64.5,64.5,21.4
23,Lamar Miller,MIA,5,31,RB,RB12,null,null,null,null,null,21.5
24,T.Y. Hilton,IND,10,33,WR,WR9,null,null,null,null,null,23.9
